TSA,tsa_id,order,family,species,bioproject,biosample,clean_stage,clean_sex,oskar
GBUI00000000.1,GBUI,Coleoptera,Chrysomelidae,phaedon_cochleariae,PRJNA210148,SAMN03776858,adult,female,not found
GBUI00000000.1,GBUI,Coleoptera,Chrysomelidae,phaedon_cochleariae,PRJNA210148,SAMN03776859,adult,female,not found
GBUI00000000.1,GBUI,Coleoptera,Chrysomelidae,phaedon_cochleariae,PRJNA210148,SAMN03776860,adult,female,not found
GBUI00000000.1,GBUI,Coleoptera,Chrysomelidae,phaedon_cochleariae,PRJNA210148,SAMN03776861,adult,female,not found
GBUI00000000.1,GBUI,Coleoptera,Chrysomelidae,phaedon_cochleariae,PRJNA210148,SAMN03776862,adult,female,not found
GBUI00000000.1,GBUI,Coleoptera,Chrysomelidae,phaedon_cochleariae,PRJNA210148,SAMN03776863,adult,female,not found
GBUI00000000.1,GBUI,Coleoptera,Chrysomelidae,phaedon_cochleariae,PRJNA210148,SAMN03776864,adult,female,not found
GBUI00000000.1,GBUI,Coleoptera,Chrysomelidae,phaedon_cochleariae,PRJNA210148,SAMN03776865,adult,female,not found
GBUI00000000.1,GBUI,Coleoptera,Chrysomelidae,phaedon_cochleariae,PRJNA210148,SAMN03776866,adult,female,not found
GEDO00000000.1,GEDO,Lepidoptera,Crambidae,conogethes_punctiferalis,PRJNA304355,SAMN03018469,undetermined stage,undetermined sex,not found
GEDO00000000.1,GEDO,Lepidoptera,Crambidae,conogethes_punctiferalis,PRJNA304355,SAMN03018470,undetermined stage,undetermined sex,not found
GAWY00000000.1,GAWY,Siphonaptera,Ceratophyllidae,oropsylla_silantiewi,PRJNA237990,SAMN02058509,undetermined stage,female,not found
GAYH00000000.2,GAYH,Neuroptera,Coniopterygidae,conwentzia_psociformis,PRJNA219541,SAMN02047107,adult,None,not found
GBEY00000000.1,GBEY,Diptera,Tephritidae,bactrocera_minax,PRJNA246133,SAMN02687583,adult,female,not found
GBQL00000000.1,GBQL,Hymenoptera,Pompilidae,episyron_rufipes,PRJNA252283,SAMN02870292,adult,undetermined sex,found
GENH00000000.1,GENH,Lepidoptera,Tineidae,dryadaula_visaliella,PRJNA298054,SAMN04155510,adult,None,not found
GEON00000000.1,GEON,Lepidoptera,Palaephatidae,palaephatus_luteolus,PRJNA298054,SAMN02370283,adult,None,found
GBOS00000000.1,GBOS,Hymenoptera,Megaspilidae,dendrocerus_carpenteri,PRJNA252710,SAMN02870277,adult,undetermined sex,found
GBQD00000000.1,GBQD,Hymenoptera,Sphecidae,sphex_funerarius,PRJNA252279,SAMN02870403,adult,undetermined sex,not found
GBPM00000000.1,GBPM,Hymenoptera,Ichneumonidae,pimpla_flavicoxis,PRJNA252191,SAMN02870378,adult,undetermined sex,found
GEWY00000000.1,GEWY,Blattodea,Rhinotermitidae,reticulitermes_flavipes,PRJNA336029,SAMN03019587,undetermined stage,female,not found
GBVP00000000.1,GBVP,Hymenoptera,Halictidae,nomioides,PRJNA252170,SAMN02870350,adult,female,not found
GENS00000000.1,GENS,Lepidoptera,Palaephatidae,ptyssoptera,PRJNA298054,SAMN04155508,larvae,None,found
GENS00000000.1,GENS,Lepidoptera,Palaephatidae,ptyssoptera,PRJNA298054,SAMN04155509,larvae,None,found
GAXC00000000.2,GAXC,Thysanoptera,Thripidae,thrips_palmi,PRJNA219609,SAMN02047112,adult,female,found
GBLV00000000.1,GBLV,Hymenoptera,Bradynobaenidae,chyphotes,PRJNA252353,SAMN02870263,adult,male,not found
GECL00000000.1,GECL,Hemiptera,Reduviidae,triatoma_dimidiata,PRJNA300554,SAMN04240765,5th instar nymph,pooled sex,not found
GBLX00000000.1,GBLX,Hymenoptera,Siricidae,tremex_magus,PRJNA252117,SAMN02870431,adult,female,found
GBVG00000000.1,GBVG,Hymenoptera,Gasteruptiidae,gasteruption_tournieri,PRJNA252337,SAMN02870301,adult,undetermined sex,found
GBQO00000000.1,GBQO,Hymenoptera,Crabronidae,stizoides_tridentatus,PRJNA252284,SAMN02870412,adult,female,not found
GBVI00000000.1,GBVI,Hymenoptera,Cephidae,cephus_spinipes,PRJNA252244,SAMN02870232,adult,female,not found
GBPT00000000.1,GBPT,Hymenoptera,Halictidae,lasioglossum_xanthopus,PRJNA252253,SAMN02870325,adult,female,not found
GBOG00000000.1,GBOG,Hymenoptera,Siricidae,sirex_noctilio,PRJNA252354,SAMN02870398,adult,male,not found
GBWH00000000.1,GBWH,Hymenoptera,Crabronidae,crossocerus_quadrimaculatus,PRJNA252271,SAMN02870271,adult,female,not found
GAYC00000000.2,GAYC,Neuroptera,Osmylidae,osmylus_fulvicephalus,PRJNA219587,SAMN02047166,adult,None,not found
GATA00000000.2,GATA,Coleoptera,Meloidae,meloe_violaceus,PRJNA219578,SAMN02047136,adult,None,not found
GEOW00000000.1,GEOW,Coleoptera,Lampyridae,photinus_pyralis,PRJNA321737,SAMN04868322,adult,male,not found
GABK00000000.1,GABK,Megaloptera,Sialidae,sialis_lutaria,PRJNA181034,SAMN02230077,3rd instar larvae & 4th instar larvae,None,not found
GABK00000000.1,GABK,Megaloptera,Sialidae,sialis_lutaria,PRJNA181034,SAMN02230078,adult,female,not found
GBNL00000000.1,GBNL,Hymenoptera,Sphecidae,sceliphron_curvatum,PRJNA252261,SAMN02870396,adult,undetermined sex,not found
GBTL00000000.1,GBTL,Hymenoptera,Apidae,tetragonula_carbonaria,PRJNA252240,SAMN02870423,adult,undetermined sex,not found
GAVA00000000.2,GAVA,Diptera,Tachinidae,triarthria_setipennis,PRJNA219612,SAMN02047177,adult,None,found
GAZH00000000.2,GAZH,Raphidioptera,Inocelliidae,inocellia_crassicornis,PRJNA219567,SAMN02047103,larvae,None,not found
GECM00000000.1,GECM,Diptera,Drosophilidae,drosophila_montana,PRJNA300939,SAMN03078468,undetermined stage,undetermined sex,found
GDGN00000000.1,GDGN,Lepidoptera,Pyralidae,amyelois_transitella,PRJNA259890,SAMN02709492,undetermined stage,undetermined sex,not found
GDGN00000000.1,GDGN,Lepidoptera,Pyralidae,amyelois_transitella,PRJNA259890,SAMN02709493,undetermined stage,undetermined sex,not found
GDGN00000000.1,GDGN,Lepidoptera,Pyralidae,amyelois_transitella,PRJNA259890,SAMN02709494,undetermined stage,male,not found
GDGN00000000.1,GDGN,Lepidoptera,Pyralidae,amyelois_transitella,PRJNA259890,SAMN02709495,undetermined stage,female,not found
GBQV00000000.1,GBQV,Hymenoptera,Apidae,tetraloniella,PRJNA252136,SAMN02870426,adult,female,not found
GBNS00000000.1,GBNS,Hymenoptera,Crabronidae,cerceris_arenaria,PRJNA252291,SAMN02870235,adult,undetermined sex,not found
GBVO00000000.1,GBVO,Hymenoptera,Ampulicidae,ampulex_fasciata,PRJNA252168,SAMN02870207,adult,male,not found
GARD00000000.1,GARD,Lepidoptera,Noctuidae,athetis_lepigone,PRJNA193566,SAMN02263985,adult,female,not found
GEEY00000000.1,GEEY,Hymenoptera,Cephidae,cephus_cinctus,PRJNA302015,SAMN04302192,adult,female,not found
GEEY00000000.1,GEEY,Hymenoptera,Cephidae,cephus_cinctus,PRJNA302015,SAMN04302193,adult,female,not found
GEEY00000000.1,GEEY,Hymenoptera,Cephidae,cephus_cinctus,PRJNA302015,SAMN04302194,adult,male,not found
GEEY00000000.1,GEEY,Hymenoptera,Cephidae,cephus_cinctus,PRJNA302015,SAMN04302195,adult,male,not found
GEEY00000000.1,GEEY,Hymenoptera,Cephidae,cephus_cinctus,PRJNA302015,SAMN04302196,larvae,None,not found
GEEY00000000.1,GEEY,Hymenoptera,Cephidae,cephus_cinctus,PRJNA302015,SAMN04302197,larvae,None,not found
GEEY00000000.1,GEEY,Hymenoptera,Cephidae,cephus_cinctus,PRJNA302015,SAMN04302198,larvae,None,not found
GAWF00000000.1,GAWF,Phasmatodea,Diapheromeridae,sipyloidea_sipylus,PRJNA238833,SAMN02646414,undetermined stage,undetermined sex,not found
GAYJ00000000.2,GAYJ,Zygentoma,Nicoletiidae,atelura_formicaria,PRJNA219527,SAMN02047144,adult,male,found
GBNZ00000000.1,GBNZ,Hymenoptera,Pompilidae,heterodontonyx,PRJNA252300,SAMN02870313,adult,undetermined sex,found
GETQ00000000.1,GETQ,Diptera,Tephritidae,rhagoletis_pomonella,PRJNA324814,SAMN04005136,undetermined stage,undetermined sex,not found
GENN00000000.1,GENN,Lepidoptera,Tineidae,tineola_bisselliella,PRJNA298054,SAMN02370288,larvae,None,not found
GASQ00000000.2,GASQ,Orthoptera,Tetrigidae,tetrix_subulata,PRJNA219606,SAMN02047150,adult,None,not found
GATB00000000.2,GATB,Mantodea,Metallyticidae,metallyticus_splendidus,PRJNA219580,SAMN02047174,juvenil,female,not found
GBKM00000000.1,GBKM,Hymenoptera,Pamphiliidae,acantholyda_hieroglyphica,PRJNA252315,SAMN02870200,adult,male,found
GBLZ00000000.1,GBLZ,Hymenoptera,Apidae,eucera_syriaca,PRJNA252121,SAMN02870295,adult,female,not found
GBCX00000000.1,GBCX,Coleoptera,Bothrideridae,dastarcus_helophoroides,PRJNA242452,SAMN02351150,larvae,None,found
GBWJ00000000.1,GBWJ,Hymenoptera,Xiphydriidae,xiphydria_camelus,PRJNA252309,SAMN02870440,adult,female,not found
GBPR00000000.1,GBPR,Hymenoptera,Crabronidae,tachysphex_fulvitarsis,PRJNA252251,SAMN02870419,adult,undetermined sex,not found
GBNR00000000.1,GBNR,Hymenoptera,Crabronidae,gorytes_laticinctus,PRJNA252290,SAMN02870305,adult,female,not found
GAMC00000000.1,GAMC,Diptera,Tephritidae,ceratitis_capitata,PRJNA208956,SAMN02047195,adult,None,found
GBLS00000000.1,GBLS,Hymenoptera,Crabronidae,dinetus_pictus,PRJNA252320,SAMN02870280,adult,male,not found
GASN00000000.2,GASN,Zygentoma,Lepismatidae,thermobia_domestica,PRJNA219608,SAMN02047139,adult,male,not found
GEOB00000000.1,GEOB,Lepidoptera,Palaephatidae,azaleodes_micronipha,PRJNA298054,SAMN04155514,larvae,None,not found
GBOC00000000.1,GBOC,Hymenoptera,Crabronidae,palarus_histrio,PRJNA252142,SAMN02870364,adult,female,not found
GBWO00000000.1,GBWO,Hymenoptera,Crabronidae,trypoxylon_figulus,PRJNA252286,SAMN02870436,adult,female,not found
GFAF00000000.1,GFAF,Hymenoptera,Braconidae,cotesia_vestalis,PRJNA227317,SAMN02401328,adult,None,found
GFAF00000000.1,GFAF,Hymenoptera,Braconidae,cotesia_vestalis,PRJNA227317,SAMN05437583,adult,female,found
GAUN00000000.2,GAUN,Hemiptera,Cercopidae,cercopis_vulnerata,PRJNA219537,SAMN02047155,adult,None,not found
GBLP00000000.1,GBLP,Hymenoptera,Eulophidae,diglyphus_isaea,PRJNA252350,SAMN02870279,adult,undetermined sex,not found
GBWX00000000.1,GBWX,Hymenoptera,Chrysididae,elampus_spina,PRJNA252148,SAMN02870288,adult,male,not found
GBQR00000000.1,GBQR,Hymenoptera,Crabronidae,bembix_rostrata,PRJNA252270,SAMN02870220,adult,undetermined sex,not found
GFME00000000.1,GFME,Hymenoptera,Trichogrammatidae,megaphragma_amalphitanum,PRJNA344956,SAMN05853688,undetermined stage,pooled sex,not found
GAWX00000000.2,GAWX,Hemiptera,Aleyrodidae,trialeurodes_vaporariorum,PRJNA219611,SAMN02047126,adult,None,not found
GBUM00000000.1,GBUM,Hymenoptera,Apidae,xylocopa_violacea,PRJNA252333,SAMN02870442,adult,male,not found
GAST00000000.2,GAST,Lepidoptera,Lycaenidae,polyommatus_icarus,PRJNA219596,SAMN02047196,adult,None,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009840,4th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009841,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009842,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009843,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009844,pupae,male,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009845,pupae,male,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009846,adult,male,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009847,pupae,female,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009848,adult,female,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009849,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009850,pupae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009851,pupae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009852,adult,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009853,4th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009854,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009855,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009856,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009857,pupae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009858,adult,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009859,adult,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009860,2nd instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009861,3rd instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009862,4th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009863,4th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009864,pupae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009865,adult,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009866,adult,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009867,adult,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009868,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009869,adult,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009870,adult,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009871,2nd instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009872,4th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009873,egg,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009874,egg,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009875,1st instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009876,2nd instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009877,3rd instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009878,pupae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009879,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009880,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009881,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009882,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009883,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009884,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009885,4th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009886,4th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009887,4th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009888,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009889,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009890,5th instar larvae,undetermined sex,not found
GEUF00000000.1,GEUF,Coleoptera,Chrysomelidae,callosobruchus_maculatus,PRJNA309272,SAMN03009891,5th instar larvae,undetermined sex,not found
GBEC00000000.1,GBEC,Hymenoptera,Pteromalidae,nasonia_giraulti,PRJNA241010,SAMN03010448,adult,pooled sex,found
GBEC00000000.1,GBEC,Hymenoptera,Pteromalidae,nasonia_giraulti,PRJNA241010,SAMN03010449,pupae,pooled sex,found
GBEC00000000.1,GBEC,Hymenoptera,Pteromalidae,nasonia_giraulti,PRJNA241010,SAMN03010450,larvae,pooled sex,found
GBEC00000000.1,GBEC,Hymenoptera,Pteromalidae,nasonia_giraulti,PRJNA241010,SAMN03010451,egg,pooled sex,found
GAXB00000000.2,GAXB,Mantophasmatodea,Tanzaniophasmatidae,tanzaniophasma,PRJNA219604,SAMN02047176,undetermined stage,male,not found
GETI00000000.1,GETI,Lepidoptera,Sphingidae,manduca_sexta,PRJNA81039,SAMN03704890,adult,male,not found
GETI00000000.1,GETI,Lepidoptera,Sphingidae,manduca_sexta,PRJNA81039,SAMN03704948,adult,male,not found
GETI00000000.1,GETI,Lepidoptera,Sphingidae,manduca_sexta,PRJNA81039,SAMN03704952,adult,male,not found
GETI00000000.1,GETI,Lepidoptera,Sphingidae,manduca_sexta,PRJNA81039,SAMN03704957,adult,male,not found
GBZD00000000.1,GBZD,Lepidoptera,Saturniidae,samia_ricini,PRJNA269319,SAMN03252612,undetermined stage,undetermined sex,not found
GBNN00000000.1,GBNN,Hymenoptera,Crabronidae,nysson_niger,PRJNA252266,SAMN02870351,adult,male,not found
GAXO00000000.1,GAXO,Hymenoptera,Chrysididae,argochrysis_armilla,PRJNA195615,SAMN02444020,undetermined stage,male,found
GAXO00000000.1,GAXO,Hymenoptera,Chrysididae,argochrysis_armilla,PRJNA195615,SAMN02444021,undetermined stage,female,found
GAXO00000000.1,GAXO,Hymenoptera,Chrysididae,argochrysis_armilla,PRJNA195615,SAMN02444022,undetermined stage,male,found
GAXO00000000.1,GAXO,Hymenoptera,Chrysididae,argochrysis_armilla,PRJNA195615,SAMN02444023,undetermined stage,female,found
GBPZ00000000.1,GBPZ,Hymenoptera,Megachilidae,coelioxys_conoidea,PRJNA252269,SAMN02870266,adult,undetermined sex,not found
GAWK00000000.2,GAWK,Siphonaptera,Ceratophyllidae,ceratophyllus_gallinae,PRJNA219536,SAMN02047147,adult,None,not found
GBYZ00000000.1,GBYZ,Lepidoptera,Notodontidae,thaumetopoea_pityocampa,PRJNA232643,SAMN02712421,5th instar larvae,female,not found
GBYZ00000000.1,GBYZ,Lepidoptera,Notodontidae,thaumetopoea_pityocampa,PRJNA232643,SAMN02712422,5th instar larvae,female,not found
GBYZ00000000.1,GBYZ,Lepidoptera,Notodontidae,thaumetopoea_pityocampa,PRJNA232643,SAMN02712423,5th instar larvae,female,not found
GBYZ00000000.1,GBYZ,Lepidoptera,Notodontidae,thaumetopoea_pityocampa,PRJNA232643,SAMN02712424,5th instar larvae,female,not found
